hale,健壮的， 矍铄的
tenacity,坚持， 固执
protagonist,倡导者， 拥护者
prevaricate,支吾其词， 搪塞
intermission,暂停， 间歇
sacred,神圣的， 庄严的
braise,炖， 蒸
moat,壕沟； 护城河
circumspect,慎重的
synopsis,摘要， 概要
tribulation,苦难， 忧患
prototype,原型； 典型
recollect,回忆； 想起
meditation,沉思， 冥想
banter,打趣， 玩笑
dehydrate,使脱水
dislocate,使脱臼； 把…弄乱
moan,呻吟； 抱怨。呻吟；抱怨
movement,乐章
prosaic,散文的； 单调的， 无趣的
lumen,流明
scissor,剪刀
unpremeditated,无预谋的， 非故意的
impressed,被打动的， 被感动的
municipality,自治市； 市政当局
mitigant,缓和的，
spur,刺激， 激励； 用马刺刺马
mode,样式； 模式； 方式， 形式； 时尚， 风尚
idiomatic,符合语言习惯的； 惯用的
symmetry,对称； 匀称
nemesis,报应
buffet,反复敲打； 连续打击
decimate,毁掉大部分； 大量杀死
retouch,修描； 润色
buffer,缓冲， 减轻
bode,预示
polymath,博学者
adhere,粘着， 坚持
tremulous,颤动的； 胆怯的， 怯懦的
contemporary,同时代的； 当代的； 现代的
sadden,使悲伤， 使难过
swipe,猛击。猛击
scowl,生气地皱眉； 怒视。怒容
mock,嘲笑； 模仿
territorial,领土的； 地方的
lesion,损害， 损伤
leakage,渗漏， 漏出
verdant,葱郁的， 翠绿的
roe,鱼卵
tacit,心照不宣的
flabby,不结实的， 松弛的； 意志薄弱的
ration,定量配给。配给
flaccid,松弛的； 软弱的
undermine,破坏， 削弱
guilt,罪行； 内疚
chauvinistic,沙文主义的， 盲目爱国的
subjective,主观的， 想象的
blossom,开花。花
crib,抄袭， 剽窃
hoary,灰白的； 古老的
doodle,涂鸦； 混时间
omelet,煎蛋卷
petitioner,请愿人
analogy,相似； 类比
filth,污物； 猥亵的东西
swirl,旋转。旋涡
acerbity,涩， 酸， 刻薄
dull,不鲜明的；迟钝的；乏味的。变迟钝
collapse,坍塌， 塌陷； 虚脱， 晕倒
restiveness,倔强， 难以驾驭
syncretize,结合， 融和
desideratum,必需品
bricklayer,砖匠
blather,喋喋不休地胡说， 唠叨
accurate,精确的， 准确的
concession,让步
dichotomy,两分法； 矛盾对立， 分歧； 具有两分特征的事物
synchronous,同时发生的
paraphrase,释义， 解释， 改写。释义，解释，改写
prosecution,起诉， 检举； 进行， 经营
construe,解释； 翻译
demur,表示异议， 反对
sequacious,盲从的
repertoire,常备剧目
resort,求助，诉诸。度假胜地
dwindle,变小， 减少
devotee,爱好者， 献身者
apt,易于…的； 恰当的
shabby,破旧的； 卑鄙的
sunlit,阳光照射的
rumple,弄皱， 弄乱
pathetic,引起怜悯的， 令人难过的
atomic,原子的； 微小的
extirpation,消灭， 根除
quondam,原来的， 以前的
tasty,美味的； 有品位的
corruption,腐败， 堕落
cosmopolitanism,世界性， 世界主义
voluptuous,撩人的； 沉溺酒色的
destructible,可破坏的
interminable,无止境的， 没完没了的
uncharted,图上未标明的
misperceive,误解
diversity,多样， 千变万化
patience,耐性
retard,妨碍； 使减速
stitch,缝合。一针
coarsen,变粗糙
enviable,令人羡慕的
thoughtful,深思的
dupe,易上当者
miserly,吝啬的
empower,授权， 准许
crater,火山口； 弹坑
suppress,镇压； 抑制
gravitational,万有引力的， 重力的
archaeological,考古学的
speculative,推理的， 思索的； 投机的
scrawl,潦草地写， 乱涂
ravening,狼吞虎咽的； 贪婪的
modish,时髦的
astray,迷路的， 误入歧途的
serene,平静的， 安详的； 清澈的； 晴朗的
misalliance,不适当的结合
rue,后悔， 懊悔
strength,体力； 强度； 力量
hieroglyph,象形文字， 神秘符号
towering,高耸的； 杰出的
deviant,越出常规的
interlace,编织； 交错
scrutinize,详细检查； 细读
extinguish,使…熄灭； 使…不复存在
affiliation,联系， 联合
self-analysis,自我分析
donate,捐赠， 赠送
bonanza,富矿脉， 贵金属矿
defiance,挑战； 违抗， 反抗
infelicitous,不幸的； 不妥当的
taboo,忌讳的。禁忌
intertwine,纠缠， 缠绕
consecrate,奉献， 使神圣
agitation,焦虑， 不安； 公开辩论， 鼓动宣传
overlap,部分重叠
lopsided,倾向一方的， 不平衡的
buxom,体态丰满的
mourn,悲痛， 哀伤； 哀悼
abatement,减少， 减轻
thematic,主题的
tumid,肿起的， 肿胀的
truce,停战， 休战
complaisance,彬彬有礼； 殷勤； 柔顺
boon,恩惠， 天赐福利
pirouette,脚尖着地的旋转
novelty,新奇； 新奇的事物
boom,发出隆隆声。繁荣
abolish,废止， 废除
approaching,接近的， 逼近的
affective,感情的， 表达感情的
jockey,赛马骑师。〔为获得最佳位置、最有利形势或最大权力而〕激烈竞争
ally,结盟， 联合。同盟者， 伙伴
solicitous,热切的； 挂念的
boor,粗野的人； 农民
analogous,相似的， 可比拟的
simper,假笑， 傻笑
abbreviate,缩短； 缩写
adherent,拥护者， 信徒
equivocate,模棱两可地说， 支吾其词， 推诿
bracelet,手镯， 臂镯
saturated,渗透的； 饱和的； 深颜色的
convoke,召集； 召开
awe,敬畏
radically,根本上； 以激进方式
discourse,演讲， 论述
momentum,推进力， 势头
obstruct,阻塞； 妨碍， 阻挠
oust,驱逐， 把…赶走
assuming,傲慢的， 自负的
spendthrift,挥金如土的
commonsense,有常识的
aquatic,水生的， 水中的
yank,猛拉， 拽
blazing,炽烧的， 闪耀的
symbolize,象征
archetypally,典型地
unremitting,不间断的， 持续的
loosen,变松， 松开
negotiable,可协商的； 可通行的
amnesty,大赦， 特赦
cast,扔； 铸造 by pouring in liquid into a mold)。演员阵容；剧团
slice,切成片。薄片
ravishing,令人陶醉的
serendipity,意外发现新奇事物的才能或现象
morsel,一小口， 一小块； 小量， 一点
elevate,举起； 提升
slick,熟练的； 圆滑的； 光滑的
protean,变化多端的， 多变的
oppressive,高压的， 压制性的； 压抑的
clinch,钉牢； 彻底解决
generation,一代人； 代； 产生， 发生
humiliate,羞辱， 使丢脸
mope,抑郁，闷闷不乐。情绪低落
cleave,劈开； 分裂
carp,吹毛求疵。鲤鱼
feral,凶猛的， 野性的
desiccate,完全干涸， 脱水
sticky,湿热的； 闷热的
excessive,过度的， 过分的
enthral,迷惑
participation,参加， 参与
assault,突袭； 猛袭
interjection,插入语； 感叹词
increment,增加
uninitiated,外行的， 缺乏经验的
ingenuous,纯真的， 纯朴的； 坦率的
scrape,刮， 擦； 擦掉
reclusive,隐遁的， 隐居的
aptitude,适宜； 才能， 资质
vile,恶劣的， 卑鄙的， 道德败坏的
insubordinate,不服从的， 违抗的
reliance,信赖， 信任
gnaw,啃， 咬； 腐蚀， 侵蚀
reprieve,缓期执行；暂时解救。缓刑， 暂缓
aggravate,加重， 恶化； 激怒， 使恼火
spurt,喷出， 迸发
namby-pamby,乏味的；懦弱的。懦弱的人
momentarily,暂时地； 片刻， 立刻
spurn,拒绝， 摈弃
colossal,巨大的， 庞大的
bowdlerize,删除， 删改
tyranny,暴政， 专制统治； 暴行
voluminous,长篇的； 大量的
autograph,在…上亲笔签名。亲笔的。亲笔稿，手迹
philanthropic,慈善的， 博爱的
alleviate,减轻， 缓和
finagle,骗取， 骗得
condescending,谦逊的， 故意屈尊的
talent,天赋； 天才
scoff,嘲笑；狼吞虎咽。嘲笑； 笑柄
factual,事实的， 实际的
negotiate,协商， 商定， 议定
mote,尘埃， 微尘
assoil,赦免， 释放， 补偿
astigmatic,散光的， 乱视的
tumult,喧哗， 吵闹； 骚动， 骚乱
animus,敌意， 憎恨
shatter,使落下， 使散开； 砸碎， 粉碎； 破坏， 毁坏
delimit,定界， 划界
epithet,短语或形容词； 绰号， 称号
transfer,转移， 传递； 转让； 调任， 调动
contumely,无礼， 傲慢 '
affection,喜爱
nerve,给予力量。勇气
unscrupulous,肆无忌惮的
morbid,病态的， 不健康的
jesting,滑稽的； 爱开玩笑的
courteous,有礼貌的
uncontroversial,未引起争论的
prance,昂首阔步
denigrate,污蔑， 诽谤
polemic,争论， 论战
inspiration,启示， 灵感
stuffy,通风不好的， 闷热的
encomiast,赞美者
sag,松弛， 下垂
phony,假的， 欺骗的
poohed,疲倦的
sequester,隐退； 使隔离
double-cross,欺骗， 出卖
noose,绳圈， 套索
procrustean,强求一致的
sap,削弱， 耗尽。树液；活力
earthshaking,极其重大或重要的
deviate,越轨， 偏离
fragmentary,碎片的， 片段的
arrant,完全的， 彻底的； 极坏的， 臭名昭著的
convertible,可转换的。敞篷车
wizened,干枯的， 干瘪的， 干皱的
facetious,滑稽的， 好开玩笑的
depression,抑郁， 消沉
ill-paying,工资低廉的
mentor,导师
gloat,幸灾乐祸地看， 心满意足地看
alienate,使疏远， 离间
depraved,堕落的， 腐化的
facile,易做到的； 肤浅的
perfidious,不忠的， 背信弃义的
ban,禁止， 取缔。禁令
retrospect,回顾； 回想。回顾
ill-will,敌意， 仇视， 恶感
hubris,傲慢， 目中无人
bar,禁止，阻挡。条， 棒
imputation,归咎， 归罪
squint,斜视
projector,电影放映机， 幻灯机
draft,草稿， 草案； 汇票
portend,预兆， 预示
fluid,流体的， 流动的； 易变的， 不固定的
shortrange,近程的
mollycoddle,过分爱惜，娇惯。娇生惯养的人
harrowing,悲痛的， 难受的
posit,断定， 认定
adjourn,延期， 推迟； 休会
nonchalantly,冷淡地， 冷漠地
proliferate,激增； 繁殖， 增生
hazardous,危险的， 冒险的
haggle,讨价还价
underestimate,低估； 看轻
onslaught,猛攻， 猛袭
interdependent,相互依赖的， 互助的
sonorous,洪亮的
unrepentant,顽固不化的， 不后悔的
neophyte,初学者， 新手
abuse,辱骂； 滥用。辱骂； 滥用
scheme,阴谋； 体系， 结构
vantage,优势， 有利地位
scarcity,不足， 缺乏
icon,圣像； 偶像
onerous,繁重的， 费力的
drain,排水； 喝光
amuse,使愉快， 逗某人笑
containment,阻止， 遏制
tremor,颤动； 颤抖， 战栗
pharisaic,伪善的， 伪装虔诚的
oval,卵形的， 椭圆形的
indigent,贫穷的， 贫困的
procedure,程序， 手续
integrate,使成整体， 使一体化
pique,激怒。不悦，愤怒
ineligible,不合格的
spongy,像海绵的； 不坚实的
disproof,反证， 反驳
diagnose,判断， 诊断
rivet,吸引。铆钉
auspices,支持， 赞助
vicinity,附近， 邻近
earnest,诚挚的， 认真的
riven,撕开的， 分裂的
stroll,漫步， 闲逛
welsh,欠债不还； 失信
deride,嘲笑， 愚弄
insolvency,无力偿还； 破产
chipmunk,花栗鼠
advocacy,拥护， 支持
discharge,排出， 流出； 释放； 解雇； 履行义务； 放电
resonant,洪亮的； 回响的， 共鸣的
instructive,传授知识的， 教育的； 有益的
suspicious,怀疑的
shipshape,整洁干净的； 井然有序的
unstable,不稳定的
crepuscular,朦胧的， 微明的
hieroglyphic,象形文字
perpendicular,垂直的， 竖直的
humane,人道的， 慈悲的； 人文主义的
overblown,盛期已过的， 残败的； 夸张的
regulatory,按规矩来的， 依照规章的； 调整的
parallelism,平行， 类似
protuberant,突出的， 隆起的
sloven,不修边幅的人
deed,行为， 行动； 转让契约、 证书
repress,抑制， 压抑； 镇压
apprise,通知， 告知
vicissitude,变迁， 兴衰
sip,啜饮。小口喝， 抿； 一小口的量
mortification,耻辱， 屈辱
ballot,投票
brilliant,卓越的， 出众的； 辉煌的， 壮丽的
oven,烤箱， 烤炉， 灶
deductive,推论的， 演绎的
inimical,敌意的， 不友善的
falter,蹒跚； 支吾地说
reparable,能补救的， 可挽回的
striate,加条纹
stroke,抚摸。击， 打； 一笔， 一画
endearing,讨人喜欢的
prerogative,特权
elusive,难懂的， 难以描述的； 不易被抓获的
walrus,海象
implicate,牵连； 暗示
extenuate,掩饰， 减轻
avoid,避开， 躲避
bid,命令； 出价， 投标
observant,密切注意的， 警惕的； 遵守的， 遵从的)； 敏锐的(quick to perceive or apprehend； alert)
entourage,随从； 环境
naivete,天真的言行举止； 天真无邪
atheism,无神论， 不信神
bin,大箱子
recommendation,推荐； 推荐信
invoke,祈求， 恳求； 使生效
atheist,无神论者
ultrasonic,超音速的， 超声的
peery,窥视的； 好奇的； 怀疑的
cautionary,劝人谨慎的， 警戒的
soundproof,使隔音。隔音的
striking,引人注目的， 显著的
symmetrical,对称的
calumniate,诽谤， 中伤
deft,灵巧的， 熟练的
crossfire,交叉火力
spleen,怒气
expunge,删除
foresight,远见， 深谋远虑
bough,大树枝
intercept,拦截， 阻止
defy,违抗， 藐视
doctrine,教义， 教条， 主义， 学说
inculpate,控告； 归咎于
sly,狡猾的， 狡诈的
unobstructed,没有阻碍的
prophet,先知， 预言者
penalize,置…于不利地位； 处罚
abhorrent,可恨的， 讨厌的
ingratiating,讨人喜欢的， 迷人的； 讨好的， 献媚的
commentator,评论员
inquiry,询问
congregate,聚集， 集合
table,搁置， 不予考虑
rumpus,喧闹， 骚乱
porous,可渗透的； 多孔的
demonstrative,证明的， 论证的； 感情流露的
systematic,系统的， 体系的
combustible,易燃的； 易激动的
punishment,惩罚， 刑罚； 虐待
waggish,诙谐的， 滑稽的
irrevocable,不能撤回的， 无法取消的
stupendous,巨大的， 惊人的
frowzy,不整洁的， 污秽的
infatuate,使迷恋； 使糊涂
shuffle,洗牌 to produce a random order)； 拖步走； 支吾(to act or speak in an evasive manner)
negation,否定， 否认
constant,稳定的，不变的。常数
congruent,全等的， 一致的
insatiably,不知足地， 贪得无厌地
abstentious,有节制的
preternatural,异常的； 超自然的
intermittent,断断续续的； 间歇的
coloration,着色法， 染色法； 颜色， 色泽
communal,全体共用的， 共享的
insatiable,不知足的， 贪得无厌的
proceeds,收入； 实收款项
warrantable,可保证的， 可承认的
contagious,传染的， 有感染力的
perilous,危险的， 冒险的
squirt,喷出， 溅进
potable,适于饮用的
petroleum,石油
novice,生手， 新手
chancy,不确定的， 不安的
feisty,活跃的； 易怒的
discretion,谨慎， 审慎
inanimate,无生命的
beget,产生， 引起
unfettered,自由的， 不受约束的
commodious,宽敞的
bob,轻拍， 轻扣； 使上下快速摆动
sparing,节俭的
boo,发出嘘声。嘘
decorous,合宜的， 高雅的
domesticate,驯养， 驯化
wobble,摇晃， 摇摆； 犹豫
hostility,敌意， 敌对状态
naturalistic,自然主义的
auxiliary,辅助的， 附加的， 补充的
singularity,独特； 奇点
missive,信件， 公函
peeve,使气恼， 怨恨
offhand,无准备地， 即席地； 随便地。无准备的，即席的；随便的
restive,不安静的， 不安宁的
inadvertence,粗心， 疏忽， 漫不经心
